ch	start	end	anchor_index
chr1	2248490	2248700	133
chr1	2250946	2251033	134
chr1	2270462	2270577	135
chr1	2311643	2311682	136
chr1	2330964	2331077	137
chr1	2348175	2348214	138
chr1	2381820	2381959	139
chr1	2382709	2382864	140
chr1	2412598	2412755	141
chr1	2412932	2413109	142
chr1	2414390	2414707	143
chr1	2443900	2444110	144
chr1	2459806	2460063	145
chr1	2496406	2496477	146
chr1	2548069	2548320	147
chr1	2554970	2555180	148
chr1	2569360	2569570	149
chr1	2578396	2578633	150
chr1	2593800	2594010	151
chr1	2611330	2611389	152
chr1	2631661	2631759	153
chr1	2633960	2634170	154
chr1	2643130	2643373	155
chr1	2786670	2786880	156
chr1	2787641	2787660	157
chr1	2801380	2801590	158
chr1	2801736	2801817	159
chr1	2822085	2822164	160
chr1	2840521	2840614	161
chr1	2876082	2876239	162
chr1	2913300	2913510	163
chr1	2922202	2922261	164
chr1	2946346	2946503	165
chr1	2968470	2968680	166
chr1	3012595	3012758	167
chr1	3066309	3066418	168
chr1	3115307	3115530	169
chr1	3116760	3116779	170
chr1	3119930	3120140	171
chr1	3120230	3120440	172
chr1	3139668	3139805	173
chr1	3168850	3169060	174
chr1	3170672	3170737	175
chr1	3192493	3192672	176
chr1	3192950	3193160	177
chr1	3222140	3222259	178
chr1	3229420	3229629	179
chr1	3230820	3231030	180
chr1	3238159	3238414	181
chr1	3250243	3250292	182
chr1	3261337	3261932	183
chr1	3284090	3284235	184
chr1	3288640	3288850	185
chr1	3292121	3292258	186
chr1	3293320	3293849	187
chr1	3320090	3320165	188
chr1	3320599	3320802	189
chr1	3326918	3326983	190
chr1	3335204	3335459	191
chr1	3335700	3335910	192
chr1	3349834	3349927	193
chr1	3350960	3351019	194
chr1	3356010	3356220	195
chr1	3356980	3357039	196
chr1	3365590	3365800	197
chr1	3366718	3366923	198
chr1	3377761	3377832	199
chr1	3393260	3393470	200
chr1	3403470	3403680	201
chr1	3410225	3410356	202
chr1	3423590	3423623	203
chr1	3424759	3424934	204
chr1	3431400	3431493	205
chr1	3441530	3441740	206
chr1	3441700	3441910	207
chr1	3453272	3453459	208
chr1	3454420	3454439	209
chr1	3457121	3457334	210
chr1	3460788	3460821	211
chr1	3471831	3471978	212
chr1	3480506	3480623	213
chr1	3484000	3484019	214
chr1	3491276	3491605	215
chr1	3502198	3502323	216
chr1	3518320	3518530	217
chr1	3563100	3563310	218
chr1	3565365	3565464	219
chr1	3587160	3587370	220
chr1	3615286	3615403	221
chr1	3619088	3619193	222
chr1	3620930	3621140	223
chr1	3621170	3621380	224
chr1	3625750	3625809	225
chr1	3649966	3650231	226
chr1	3668947	3669118	227
chr1	3695774	3695823	228
chr1	3718166	3718283	229
chr1	3724522	3724651	230
chr1	3733602	3733687	231
chr1	3733980	3734190	232
chr1	3747353	3747500	233
chr1	3771698	3771731	234
chr1	3776030	3776240	235
chr1	3785246	3785415	236
chr1	3787270	3787480	237
chr1	3787490	3787700	238
chr1	3795030	3795240	239
chr1	3801625	3801625	240
chr1	3827885	3827924	241
chr1	3857230	3857475	242
chr1	3901184	3901547	243
chr1	3907370	3907491	244
chr1	3910932	3911033	245
chr1	3942520	3942730	246
chr1	3942880	3943090	247
chr1	3944540	3944750	248
chr1	3963690	3963900	249
chr1	4048250	4048269	250
chr1	4060860	4061070	251
chr1	4084210	4084420	252
chr1	4150414	4150485	253
chr1	4173311	4173450	254
chr1	4173670	4173880	255
chr1	4267602	4267779	256
chr1	4304560	4304770	257
chr1	4362480	4362690	258
chr1	4366380	4366590	259
chr1	4494670	4494880	260
chr1	4585408	4585451	261
chr1	4594426	4594687	262
chr1	4652678	4652847	263
chr1	4656398	4656577	264
chr1	4742178	4742251	265
chr1	4778081	4778218	266
chr1	4826145	4826334	267
chr1	4941490	4941700	268
chr1	5431060	5431270	269
chr1	5509997	5510128	270
chr1	5597290	5597500	271
chr1	5598085	5598308	272
chr1	5621140	5621349	273
chr1	5637358	5637391	274
chr1	5641012	5641097	275
chr1	5641460	5641670	276
chr1	5745928	5745995	277
chr1	5746416	5746513	278
chr1	5830870	5830929	279
chr1	5847280	5847490	280
chr1	5893779	5893950	281
chr1	5916096	5916303	282
chr1	5955518	5955867	283
chr1	5967600	5967810	284
chr1	5975267	5975398	285
chr1	5991410	5991620	286
chr1	5992354	5992759	287
chr1	5993090	5993300	288
chr1	6003037	6003338	289
chr1	6003980	6004039	290
chr1	6041608	6041673	291
chr1	6045280	6045490	292
chr1	6045624	6045897	293
chr1	6052535	6052666	294
chr1	6053051	6053154	295
chr1	6080660	6080870	296
chr1	6082382	6082597	297
chr1	6099859	6099960	298
chr1	6105270	6105480	299
chr1	6105827	6105942	300
chr1	6109015	6109046	301
chr1	6137790	6138000	302
chr1	6141712	6141937	303
chr1	6157925	6158118	304
chr1	6161764	6161831	305
chr1	6171669	6171696	306
chr1	6185932	6185991	307
chr1	6205002	6205575	308
chr1	6205955	6206310	309
chr1	6206850	6207060	310
chr1	6235940	6236059	311
chr1	6240355	6240355	312
chr1	6240480	6240690	313
chr1	6245087	6245316	314
chr1	6246794	6246997	315
chr1	6249740	6249950	316
chr1	6255140	6255350	317
chr1	6255450	6255660	318
chr1	6280846	6281059	319
chr1	6295720	6295930	320
chr1	6343553	6343656	321
chr1	6348087	6348176	322
chr1	6359631	6359972	323
chr1	6363188	6363297	324
chr1	6378236	6378325	325
chr1	6393692	6393883	326
chr1	6397090	6397300	327
chr1	6404797	6404880	328
chr1	6412990	6413200	329
chr1	6414403	6414612	330
chr1	6423640	6423673	331
chr1	6438140	6438301	332
chr1	6440620	6440830	333
chr1	6445262	6445367	334
chr1	6445960	6446170	335
chr1	6447261	6447470	336
chr1	6447796	6447987	337
chr1	6450180	6450390	338
chr1	6451088	6451371	339
chr1	6475592	6475787	340
chr1	6486615	6486706	341
chr1	6489983	6490168	342
chr1	6512560	6512770	343
chr1	6513480	6513529	344
chr1	6523717	6523856	345
chr1	6554553	6554648	346
chr1	6554790	6555000	347
chr1	6579810	6580029	348
chr1	6580910	6581120	349
chr1	6604331	6604468	350
chr1	6609790	6610000	351
chr1	6625057	6625276	352
chr1	6634747	6634844	353
chr1	6646563	6646792	354
chr1	6700720	6700930	355
chr1	6701718	6702013	356
chr1	6720165	6720254	357
chr1	6724580	6724825	358
chr1	6727492	6727707	359
chr1	6762246	6762363	360
chr1	6770846	6770943	361
chr1	6789100	6789310	362
chr1	6794326	6794395	363
chr1	6820720	6820930	364
chr1	6822525	6822564	365
chr1	6822652	6822761	366
chr1	6884832	6884949	367
chr1	6889987	6890192	368
chr1	6909967	6910110	369
chr1	6960401	6960548	370
chr1	6998446	6998495	371
chr1	7042868	7042941	372
chr1	7070160	7070370	373
chr1	7070489	7070618	374
chr1	7075380	7075590	375
chr1	7097180	7097390	376
chr1	7208060	7208105	377
chr1	7217460	7217670	378
chr1	7218369	7218456	379
chr1	7224880	7224997	380
chr1	7246030	7246240	381
chr1	7454272	7454309	382
chr1	7460935	7460935	383
chr1	7475210	7475420	384
chr1	7533220	7533430	385
chr1	7539680	7539890	386
chr1	7561500	7561710	387
chr1	7577320	7577530	388
chr1	7616420	7616630	389
chr1	7647301	7647450	390
chr1	7667728	7667743	391
chr1	7682550	7682760	392
chr1	7688827	7688908	393
chr1	7752550	7752760	394
chr1	7752981	7753000	395
chr1	7772110	7772320	396
chr1	7782980	7783190	397
chr1	7856550	7856583	398
chr1	7902862	7902977	399
chr1	7960636	7960793	400
chr1	7961895	7961895	401
chr1	7975451	7975490	402
chr1	7982364	7982613	403
chr1	8005242	8005409	404
chr1	8006430	8006640	405
chr1	8015158	8015239	406
chr1	8018077	8018132	407
chr1	8026252	8026391	408
chr1	8027484	8027665	409
chr1	8027870	8028080	410
chr1	8031300	8031510	411
chr1	8040688	8040807	412
chr1	8061425	8061464	413
chr1	8070470	8070680	414
chr1	8078650	8078860	415
chr1	8094961	8095098	416
chr1	8096690	8096900	417
chr1	8097506	8097555	418
chr1	8097930	8098140	419
chr1	8117012	8117267	420
chr1	8120996	8121145	421
chr1	8121950	8122160	422
chr1	8142080	8142290	423
chr1	8154721	8154950	424
chr1	8155584	8155825	425
chr1	8169878	8169999	426
chr1	8181870	8182080	427
chr1	8182361	8182628	428
chr1	8197842	8197927	429
chr1	8211440	8211650	430
chr1	8211997	8212206	431
chr1	8239072	8239109	432
chr1	8259203	8259392	433
chr1	8261000	8261210	434
chr1	8281280	8281490	435
chr1	8314382	8314641	436
chr1	8315963	8316046	437
chr1	8342483	8342562	438
chr1	8342900	8343110	439
chr1	8343498	8343531	440
chr1	8349029	8349232	441
chr1	8351880	8352090	442
chr1	8370470	8370680	443
chr1	8374925	8375024	444
chr1	8409301	8409438	445
chr1	8463500	8463710	446
chr1	8473690	8473900	447
chr1	8571714	8571787	448
chr1	8598140	8598350	449
chr1	8626497	8626654	450
chr1	8664150	8664360	451
chr1	8670465	8670465	452
chr1	8671480	8671573	453
chr1	8672690	8672900	454
chr1	8681435	8681514	455
chr1	8701620	8701830	456
chr1	8702395	8702474	457
chr1	8703323	8703590	458
chr1	8712230	8712249	459
chr1	8712565	8712644	460
chr1	8712883	8712932	461
chr1	8713190	8713400	462
chr1	8719010	8719220	463
chr1	8726647	8726704	464
chr1	8740305	8740344	465
chr1	8742078	8742317	466
chr1	8748370	8748580	467
chr1	8749490	8749700	468
chr1	8755018	8755223	469
chr1	8776311	8776409	470
chr1	8782165	8782204	471
chr1	8817668	8817871	472
chr1	8823920	8824130	473
chr1	8846620	8846830	474
chr1	8848878	8849133	475
chr1	8853160	8853370	476
chr1	8859520	8859649	477
chr1	8862606	8862787	478
chr1	8871701	8871794	479
chr1	8878648	8878933	480
chr1	8879196	8879313	481
chr1	8880410	8880620	482
chr1	8881930	8882140	483
chr1	8889270	8889289	484
chr1	8889470	8889680	485
chr1	8902700	8902910	486
chr1	8903550	8903760	487
chr1	8911070	8911280	488
chr1	8913650	8913669	489
chr1	8918187	8918390	490
chr1	8929060	8929270	491
chr1	8941900	8942110	492
chr1	8963100	8963159	493
chr1	8988167	8988274	494
chr1	8988440	8988650	495
chr1	9004530	9004740	496
chr1	9005187	9005342	497
chr1	9010141	9010239	498
chr1	9058700	9058719	499
chr1	9101677	9101754	500
chr1	9110917	9110992	501
chr1	9112000	9112210	502
chr1	9128770	9128980	503
chr1	9142394	9142505	504
chr1	9162956	9163027	505
chr1	9172224	9172413	506
chr1	9181264	9181525	507
chr1	9181597	9181793	508
chr1	9182307	9182370	509
chr1	9196599	9196638	510
chr1	9197670	9197880	511
chr1	9198810	9198869	512
chr1	9211550	9211760	513
chr1	9233309	9233674	514
chr1	9234604	9234769	515
chr1	9239841	9239860	516
chr1	9250160	9250319	517
chr1	9267132	9267357	518
chr1	9289188	9289221	519
chr1	9290410	9290620	520
chr1	9291725	9291725	521
chr1	9291860	9292070	522
chr1	9377190	9377400	523
chr1	9389550	9389760	524
chr1	9400030	9400240	525
chr1	9400716	9400897	526
chr1	9428770	9429097	527
chr1	9435295	9435374	528
chr1	9436540	9436750	529
chr1	9438645	9438872	530
chr1	9439420	9439630	531
chr1	9448258	9448503	532
chr1	9455931	9455970	533
chr1	9491155	9491326	534
chr1	9495274	9495515	535
chr1	9501247	9501294	536
chr1	9532880	9533090	537
chr1	9537800	9538010	538
chr1	9539246	9539537	539
chr1	9542500	9542710	540
chr1	9546784	9546861	541
chr1	9550292	9550389	542
chr1	9557790	9558000	543
chr1	9558040	9558250	544
chr1	9565835	9565874	545
chr1	9573862	9573959	546
chr1	9587170	9587380	547
chr1	9588140	9588350	548
chr1	9588532	9588801	549
chr1	9615699	9615850	550
chr1	9627082	9627225	551
chr1	9659490	9659700	552
chr1	9662187	9662508	553
chr1	9671555	9671634	554
chr1	9677450	9677660	555
chr1	9688030	9688240	556
chr1	9688440	9688650	557
chr1	9702419	9702490	558
chr1	9702860	9703070	559
chr1	9717318	9717831	560
chr1	9721876	9722023	561
chr1	9725123	9725276	562
chr1	9784641	9784832	563
chr1	9784970	9785180	564
chr1	9786210	9786420	565
chr1	9792540	9792750	566
chr1	9796815	9796854	567
chr1	9815340	9815399	568
chr1	9827980	9828190	569
chr1	9835837	9835992	570
chr1	9867587	9867734	571
chr1	9875021	9875108	572
chr1	9876900	9877110	573
chr1	9908100	9908310	574
chr1	9910247	9910682	575
chr1	9914060	9914270	576
chr1	9914455	9914594	577
chr1	9927450	9927660	578
chr1	9942515	9942558	579
chr1	9950415	9950598	580
chr1	9983920	9984130	581
chr1	9984730	9984940	582
chr1	9997630	9997840	583
chr1	9997820	9998030	584
chr1	10032546	10033067	585
chr1	10033550	10033760	586
chr1	10054940	10054959	587
chr1	10056347	10056526	588
chr1	10083860	10084070	589
chr1	10127030	10127240	590
chr1	10136360	10136570	591
chr1	10153096	10153125	592
chr1	10153960	10154170	593
chr1	10171124	10171367	594
chr1	10209960	10210170	595
chr1	10210307	10210676	596
chr1	10211430	10211489	597
chr1	10228590	10228800	598
chr1	10232200	10232410	599
chr1	10258001	10258138	600
chr1	10276490	10276700	601
chr1	10338163	10338306	602
chr1	10338450	10338660	603
chr1	10338880	10339090	604
chr1	10387720	10387930	605
chr1	10388236	10388353	606
chr1	10388500	10388710	607
chr1	10397670	10397880	608
chr1	10428191	10428252	609
chr1	10430365	10430444	610
chr1	10430603	10430758	611
chr1	10438760	10438970	612
chr1	10472446	10472707	613
chr1	10474867	10474996	614
chr1	10489300	10489510	615
chr1	10494766	10494883	616
chr1	10495148	10495295	617
chr1	10495970	10496180	618
chr1	10507612	10507715	619
chr1	10514518	10514705	620
chr1	10519090	10519149	621
chr1	10530403	10530452	622
chr1	10555775	10555814	623
chr1	10599405	10599405	624
chr1	10630076	10630193	625
chr1	10635225	10635264	626
chr1	10678920	10679130	627
chr1	10681250	10681460	628
chr1	10681725	10681764	629
chr1	10686877	10686984	630
chr1	10692512	10692593	631
chr1	10704674	10704761	632
chr1	10731065	10731264	633
chr1	10788850	10788965	634
chr1	10829562	10829777	635
chr1	10835987	10836148	636
chr1	10837350	10837560	637
chr1	10848540	10848750	638
chr1	10866768	10867041	639
chr1	10867184	10867357	640
chr1	10867830	10868040	641
chr1	10900860	10901070	642
chr1	10909957	10910234	643
chr1	10937285	10937734	644
chr1	10942096	10942167	645
chr1	10943930	10944140	646
chr1	10961036	10961267	647
chr1	10979741	10979878	648
chr1	11011860	11012070	649
chr1	11036770	11036980	650
chr1	11037740	11037835	651
chr1	11060038	11060185	652
chr1	11072730	11072940	653
chr1	11098430	11098640	654
chr1	11098660	11098870	655
chr1	11099490	11099509	656
chr1	11099696	11100103	657
chr1	11179780	11179990	658
chr1	11216241	11216314	659
chr1	11241837	11241964	660
chr1	11242240	11242450	661
chr1	11261410	11261620	662
chr1	11261670	11261880	663
chr1	11262890	11263019	664
chr1	11266690	11266900	665
chr1	11267784	11268045	666
chr1	11268520	11268730	667
chr1	11272630	11272840	668
chr1	11273920	11274130	669
chr1	11286310	11286520	670
chr1	11320252	11320417	671
chr1	11336000	11336210	672
chr1	11337598	11337755	673
chr1	11364370	11364389	674
chr1	11478700	11478943	675
chr1	11550880	11550899	676
chr1	11572310	11572520	677
chr1	11594230	11594440	678
chr1	11635860	11636070	679
chr1	11642522	11642691	680
chr1	11645837	11645918	681
chr1	11648171	11648264	682
chr1	11653300	11653449	683
chr1	11655270	11655480	684
chr1	11664145	11664296	685
chr1	11671540	11671773	686
chr1	11680820	11680879	687
chr1	11691040	11691250	688
chr1	11707803	11707970	689
chr1	11711240	11711299	690
chr1	11719658	11720031	691
chr1	11736429	11736660	692
chr1	11749281	11749379	693
chr1	11785251	11785450	694
chr1	11803490	11803700	695
chr1	11805489	11805794	696
chr1	11805863	11806202	697
chr1	11821610	11821820	698
chr1	11838818	11838901	699
chr1	11842740	11842987	700
chr1	11882030	11882240	701
chr1	11883023	11883072	702
chr1	11894060	11894169	703
chr1	11908201	11908378	704
chr1	11908942	11909157	705
chr1	11909670	11909880	706
chr1	11913414	11913575	707
chr1	11926432	11926619	708
chr1	11961281	11961418	709
chr1	11967207	11967452	710
chr1	11980094	11980393	711
chr1	11982050	11982260	712
chr1	11982190	11982400	713
chr1	11987240	11987450	714
chr1	12001654	12001831	715
chr1	12021190	12021400	716
chr1	12031387	12031462	717
chr1	12044766	12044923	718
chr1	12054970	12055180	719
chr1	12079755	12079854	720
chr1	12118751	12118849	721
chr1	12124934	12125049	722
chr1	12196785	12196824	723
chr1	12208999	12209130	724
chr1	12229903	12230126	725
chr1	12243680	12243890	726
chr1	12244205	12244384	727
chr1	12272212	12272277	728
chr1	12275340	12275550	729
chr1	12276404	12276477	730
chr1	12314457	12314584	731
chr1	12314980	12315190	732
chr1	12346933	12347024	733
chr1	12356088	12356261	734
chr1	12369445	12369445	735
chr1	12379700	12379910	736
chr1	12381291	12381492	737
chr1	12402385	12402454	738
chr1	12406495	12406646	739
chr1	12406711	12406942	740
chr1	12407005	12407044	741
chr1	12407440	12407650	742
chr1	12422636	12422753	743
chr1	12433180	12433390	744
chr1	12433545	12433642	745
chr1	12437115	12437154	746
chr1	12437700	12437910	747
chr1	12453616	12453729	748
chr1	12478097	12478434	749
chr1	12485722	12485807	750
chr1	12525523	12525572	751
chr1	12528424	12528819	752
chr1	12540050	12540260	753
chr1	12540406	12540523	754
chr1	12541550	12541760	755
chr1	12548910	12549120	756
chr1	12549820	12550123	757
chr1	12588342	12588439	758
chr1	12601391	12601442	759
chr1	12604514	12604569	760
chr1	12618270	12618480	761
chr1	12619883	12620138	762
chr1	12654885	12654924	763
chr1	12659042	12659291	764
chr1	12777940	12778150	765
chr1	12779600	12779810	766
chr1	13356900	13357009	767
chr1	13422677	13422873	768
chr1	13469410	13469620	769
chr1	13517330	13517540	770
chr1	13665714	13665937	771
chr1	13697870	13698080	772
chr1	13725964	13726077	773
chr1	13748210	13748420	774
chr1	13749060	13749270	775
chr1	13761050	13761260	776
chr1	13807302	13807511	777
chr1	13811328	13811429	778
chr1	13828050	13828260	779
chr1	13828940	13829150	780
chr1	13930270	13930480	781
chr1	13960470	13960635	782
chr1	13965890	13966079	783
chr1	14095120	14095330	784
chr1	14114022	14114083	785
chr1	14395756	14395805	786
chr1	14415496	14415613	787
chr1	14435406	14435539	788
chr1	14436400	14436610	789
chr1	14534950	14535160	790
chr1	14536280	14536490	791
chr1	14538550	14538760	792
chr1	14567234	14567301	793
chr1	14572010	14572059	794
chr1	14719310	14719520	795
chr1	14732076	14732199	796
chr1	14732460	14732670	797
chr1	14779269	14779400	798
chr1	14782920	14783130	799
chr1	14783370	14783389	800
chr1	14804316	14804433	801
chr1	14804850	14804909	802
chr1	14833790	14833919	803
chr1	14850752	14850789	804
chr1	14878126	14878243	805
chr1	14913270	14913480	806
chr1	14913819	14913996	807
chr1	14915421	14915660	808
chr1	14924600	14924691	809
chr1	14925020	14925230	810
chr1	14939595	14939826	811
chr1	14956617	14956764	812
chr1	14970342	14970427	813
chr1	14983380	14983590	814
chr1	14996780	14996990	815
chr1	14999496	14999735	816
chr1	15021533	15021638	817
chr1	15027635	15027794	818
chr1	15038286	15038391	819
chr1	15046592	15046819	820
chr1	15047620	15047830	821
chr1	15062582	15062761	822
chr1	15090485	15090700	823
chr1	15100486	15100603	824
chr1	15110997	15111052	825
chr1	15128664	15128771	826
chr1	15145870	15146080	827
chr1	15152344	15152571	828
chr1	15154145	15154224	829
chr1	15187410	15187620	830
chr1	15187640	15187850	831
chr1	15200332	15200549	832
chr1	15203870	15204080	833
chr1	15221136	15221353	834
chr1	15272626	15272755	835
chr1	15285137	15285340	836
chr1	15304410	15304620	837
chr1	15304807	15305026	838
chr1	15323634	15323771	839
chr1	15329290	15329309	840
chr1	15340420	15340630	841
chr1	15355810	15356020	842
chr1	15356310	15356369	843
chr1	15356480	15356690	844
chr1	15364910	15365120	845
chr1	15370957	15371072	846
chr1	15372290	15372500	847
chr1	15390310	15390520	848
chr1	15408930	15408989	849
chr1	15409260	15409470	850
chr1	15409758	15409957	851
chr1	15421170	15421249	852
chr1	15422020	15422230	853
chr1	15431243	15431466	854
chr1	15431600	15431810	855
chr1	15441350	15441560	856
chr1	15463440	15463650	857
chr1	15464910	15465120	858
chr1	15501477	15501648	859
chr1	15523240	15523450	860
chr1	15526458	15526643	861
chr1	15584550	15584760	862
chr1	15585034	15585225	863
chr1	15595274	15595423	864
chr1	15603594	15603711	865
chr1	15618410	15618620	866
chr1	15618946	15619063	867
chr1	15654220	15654430	868
chr1	15684139	15684406	869
chr1	15703180	15703390	870
chr1	15736487	15736682	871
chr1	15741436	15741641	872
chr1	15756544	15756611	873
chr1	15758670	15758880	874
chr1	15780794	15780877	875
chr1	15788174	15788411	876
chr1	15789040	15789250	877
chr1	15792153	15792274	878
chr1	15792640	15792850	879
chr1	15800250	15800491	880
chr1	15803441	15803578	881
chr1	15815658	15815753	882
chr1	15833970	15834180	883
chr1	15847428	15847727	884
chr1	15848450	15848660	885
chr1	15886388	15886553	886
chr1	15887590	15887800	887
chr1	15924895	15924974	888
chr1	15939502	15939665	889
chr1	15959015	15959054	890
chr1	15966370	15966580	891
chr1	15966490	15966700	892
chr1	15975472	15975689	893
chr1	15976061	15976160	894
chr1	15976400	15976610	895
chr1	15983030	15983240	896
chr1	15994666	15994771	897
chr1	16004029	16004220	898
chr1	16009163	16009258	899
chr1	16032944	16033095	900
chr1	16037930	16038140	901
chr1	16038651	16038749	902
chr1	16042200	16042410	903
chr1	16056185	16056352	904
chr1	16057705	16057705	905
chr1	16073535	16073574	906
chr1	16079024	16079115	907
chr1	16094000	16094210	908
chr1	16101640	16101850	909
chr1	16146407	16146622	910
chr1	16157000	16157210	911
chr1	16182050	16182099	912
chr1	16187896	16187949	913
chr1	16205172	16205257	914
chr1	16206508	16206733	915
chr1	16217364	16217671	916
chr1	16226190	16226400	917
chr1	16226400	16226610	918
chr1	16237157	16237356	919
chr1	16244530	16244579	920
chr1	16271096	16271213	921
chr1	16321710	16321920	922
chr1	16351660	16351870	923
chr1	16352485	16352594	924
chr1	16352910	16353120	925
chr1	16363040	16363250	926
chr1	16363486	16363657	927
chr1	16366969	16367258	928
chr1	16367430	16367640	929
chr1	16367670	16367880	930
chr1	16406620	16406830	931
chr1	16425229	16425456	932
chr1	16425850	16425869	933
chr1	16434180	16434390	934
chr1	16439030	16439240	935
chr1	16440556	16440765	936
chr1	16475088	16475131	937
chr1	16499126	16499299	938
chr1	16499810	16500020	939
chr1	16505980	16506190	940
chr1	16513940	16514131	941
chr1	16535175	16535175	942
chr1	16543870	16544080	943
chr1	16545971	16546048	944
chr1	16613547	16613686	945
chr1	16621056	16621287	946
chr1	16625005	16625160	947
chr1	16635910	16636120	948
chr1	16644688	16644807	949
chr1	16645800	16646010	950
chr1	16646310	16646520	951
chr1	16678970	16679180	952
chr1	16709856	16709907	953
chr1	16724780	16724990	954
chr1	16727190	16727400	955
chr1	16896161	16896328	956
chr1	16896492	16896607	957
chr1	16904090	16904300	958
chr1	16904845	16904984	959
chr1	16947624	16947837	960
chr1	16951751	16951934	961
chr1	16962640	16962850	962
chr1	16963606	16963819	963
chr1	17046221	17046364	964
chr1	17054840	17055050	965
chr1	17059804	17059873	966
chr1	17075593	17075642	967
chr1	17125830	17126005	968
chr1	17177760	17177970	969
chr1	17237210	17237333	970
chr1	17274304	17274529	971
chr1	17336229	17336362	972
chr1	17370715	17370858	973
chr1	17406187	17406400	974
chr1	17419875	17420118	975
chr1	17439200	17439410	976
chr1	17439620	17439883	977
chr1	17485408	17485551	978
chr1	17494381	17494472	979
chr1	17502396	17502541	980
chr1	17516990	17517091	981
chr1	17538550	17538760	982
chr1	17551089	17551192	983
chr1	17564740	17564950	984
chr1	17572810	17572829	985
chr1	17574785	17574785	986
chr1	17581502	17581719	987
chr1	17592101	17592318	988
chr1	17592530	17592740	989
chr1	17606161	17606259	990
chr1	17606986	17607035	991
chr1	17629470	17629689	992
chr1	17653970	17653989	993
chr1	17661689	17661844	994
chr1	17745315	17745354	995
chr1	17826183	17826416	996
chr1	17909764	17909885	997
chr1	17919975	17920104	998
chr1	17922914	17923123	999
