File accession	File format	File type	File format type	Output type	File assembly	Experiment accession	Assay	Donor(s)	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate(s)	Read length	Mapped read length	Run type	Paired end	Paired with	Index of	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Genome annotation	Platform	Controlled by	File Status	s3_uri	Azure URL	File analysis title	File analysis status	Audit WARNING	Audit NOT_COMPLIANT	Audit ERROR
ENCFF291LHW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR949OEV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/7544/'], '@type': ['Target', 'Item'], 'name': 'ZFY-human', 'label': 'ZFY', '@id': '/targets/ZFY-human/', 'title': 'ZFY (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'c3e1aa80-6567-42a0-9de5-1b8d6a7c5215', 'status': 'released'}				ZFY-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF393TOA/, /files/ENCFF657NDS/, /files/ENCFF387GVK/, /files/ENCFF356LFX/	719280	ENCODE Processing Pipeline	7f7f0dbd6408743e3bf69bfafaac4584		https://www.encodeproject.org/files/ENCFF291LHW/@@download/ENCFF291LHW.bed.gz				released	s3://encode-public/2020/07/07/0f462350-efd9-4784-8e3e-7c94a3968ad1/ENCFF291LHW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/07/0f462350-efd9-4784-8e3e-7c94a3968ad1/ENCFF291LHW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF021NPR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BQA	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ZBTB7A-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF285GKD/, /files/ENCFF050WXS/, /files/ENCFF459YUC/, /files/ENCFF688KCJ/, /files/ENCFF356LFX/	204174	ENCODE Processing Pipeline	54731744f1a21787539e02c7ec670887		https://www.encodeproject.org/files/ENCFF021NPR/@@download/ENCFF021NPR.bed.gz				released	s3://encode-public/2021/01/05/ca39f803-231e-4a17-89db-49a73e720792/ENCFF021NPR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/05/ca39f803-231e-4a17-89db-49a73e720792/ENCFF021NPR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking, low read length, moderate library complexity	severe bottlenecking	
ENCFF652ELW	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EEF	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										USF2-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF787PWA/, /files/ENCFF356LFX/, /files/ENCFF772ZHK/, /files/ENCFF800WEH/	145554	ENCODE Processing Pipeline	3faf4a3f841372df7e9cd763d30d4e06		https://www.encodeproject.org/files/ENCFF652ELW/@@download/ENCFF652ELW.bed.gz				released	s3://encode-public/2020/12/27/4aab29c5-290d-44ee-a1a4-9055b5759bf9/ENCFF652ELW.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/27/4aab29c5-290d-44ee-a1a4-9055b5759bf9/ENCFF652ELW.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, low read length		
ENCFF257CCO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR935GZV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:NFYB'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/4801/'], '@type': ['Target', 'Item'], 'label': 'NFYB', 'title': 'NFYB (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '68062f50-dc20-43b9-9064-6cf5d369e7ac', 'schema_version': '14', 'name': 'NFYB-human', '@id': '/targets/NFYB-human/', 'status': 'released'}				NFYB-human	DNA				formaldehyde		2020-07-09	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF282QNY/, /files/ENCFF356LFX/, /files/ENCFF723HPB/, /files/ENCFF938DNJ/	275488	ENCODE Processing Pipeline	5a98ee2b1321dacc93c6fc7529fef469		https://www.encodeproject.org/files/ENCFF257CCO/@@download/ENCFF257CCO.bed.gz				released	s3://encode-public/2020/07/06/e9a627ec-1f1e-45c2-a432-d0ed44832786/ENCFF257CCO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/06/e9a627ec-1f1e-45c2-a432-d0ed44832786/ENCFF257CCO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF301CNM	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000BQI	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										CEBPB-human	DNA						2012-02-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF459YUC/, /files/ENCFF285GKD/, /files/ENCFF816TWG/, /files/ENCFF760OQA/, /files/ENCFF356LFX/	339214	ENCODE Processing Pipeline	93d5518a7aaa2a3f40b494c8af8027a8		https://www.encodeproject.org/files/ENCFF301CNM/@@download/ENCFF301CNM.bed.gz				released	s3://encode-public/2020/12/26/66784e23-a037-4bee-a72e-6ae848636ae7/ENCFF301CNM.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/66784e23-a037-4bee-a72e-6ae848636ae7/ENCFF301CNM.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, mild to moderate bottlenecking, low read length, moderate library complexity	severe bottlenecking	
ENCFF919ZSN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR956OSX	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/3175/'], '@type': ['Target', 'Item'], 'name': 'ONECUT1-human', 'label': 'ONECUT1', '@id': '/targets/ONECUT1-human/', 'title': 'ONECUT1 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'bd5adf7d-b3e4-4e14-8d3f-62f62e8fdf1f', 'status': 'released'}				ONECUT1-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF533MQW/, /files/ENCFF541MWJ/, /files/ENCFF657NDS/	623141	ENCODE Processing Pipeline	02e8964fa56f96ef4e362be216cf3425		https://www.encodeproject.org/files/ENCFF919ZSN/@@download/ENCFF919ZSN.bed.gz				released	s3://encode-public/2020/07/06/64d497df-6bb5-44ed-b333-9402aa45824a/ENCFF919ZSN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/06/64d497df-6bb5-44ed-b333-9402aa45824a/ENCFF919ZSN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF770RAR	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EEW	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens	forskolin, pyruvate	1 mM	6.0 hour, 6 hour							ESRRA-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF242XNP/, /files/ENCFF597UUI/, /files/ENCFF440OFC/, /files/ENCFF494VDY/, /files/ENCFF356LFX/	19905	ENCODE Processing Pipeline	c242f1bf210d4dbcafc8c22dfc5694c7		https://www.encodeproject.org/files/ENCFF770RAR/@@download/ENCFF770RAR.bed.gz				released	s3://encode-public/2020/12/26/76d58031-b428-4564-ad20-fb1f5ccdbead/ENCFF770RAR.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/12/26/76d58031-b428-4564-ad20-fb1f5ccdbead/ENCFF770RAR.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	borderline replicate concordance	insufficient read depth, insufficient read length	extremely low read depth
ENCFF362PMI	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR000EVR	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens										ZNF274-human	DNA						2011-10-29	ENCODE		see document		1, 2	1_1, 2_1							/files/ENCFF674OWW/, /files/ENCFF356LFX/, /files/ENCFF830EAV/, /files/ENCFF536WJM/	7973	ENCODE Processing Pipeline	a18950d9d006def247eee93100cd7fa7		https://www.encodeproject.org/files/ENCFF362PMI/@@download/ENCFF362PMI.bed.gz				released	s3://encode-public/2021/01/01/63fc4a6c-732c-4d00-bcb1-cc0241918c7a/ENCFF362PMI.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2021/01/01/63fc4a6c-732c-4d00-bcb1-cc0241918c7a/ENCFF362PMI.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.6.1 GRCh38	released	low read depth, inconsistent platforms	insufficient read depth, insufficient replicate concordance, insufficient read length	
ENCFF404IUH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR248BVU	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1490'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/9422/'], '@type': ['Target', 'Item'], 'name': 'ZNF264-human', 'label': 'ZNF264', '@id': '/targets/ZNF264-human/', 'title': 'ZNF264 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '39e11f6a-d639-4af0-a72e-0ceb988515f3', 'status': 'released'}				ZNF264-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF596DYI/, /files/ENCFF356LFX/, /files/ENCFF826QKB/, /files/ENCFF657NDS/	342838	ENCODE Processing Pipeline	2972cea572e05f447d4ac000bafa698e		https://www.encodeproject.org/files/ENCFF404IUH/@@download/ENCFF404IUH.bed.gz				released	s3://encode-public/2020/07/01/9b256fb6-b812-45a7-83ac-c3a31862f925/ENCFF404IUH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/01/9b256fb6-b812-45a7-83ac-c3a31862f925/ENCFF404IUH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF622FUC	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR998YJI	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/84858/'], '@type': ['Target', 'Item'], 'name': 'ZNF503-human', 'label': 'ZNF503', '@id': '/targets/ZNF503-human/', 'title': 'ZNF503 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '9253e262-f514-44b2-abe7-14584c157c55', 'status': 'released'}				ZNF503-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF718STA/, /files/ENCFF356LFX/, /files/ENCFF657NDS/, /files/ENCFF336ORK/	336805	ENCODE Processing Pipeline	50d121b1bf2779a233069608e72d0062		https://www.encodeproject.org/files/ENCFF622FUC/@@download/ENCFF622FUC.bed.gz				released	s3://encode-public/2020/07/06/91071a44-4ed6-4c89-8b65-94e50d545ad6/ENCFF622FUC.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/06/91071a44-4ed6-4c89-8b65-94e50d545ad6/ENCFF622FUC.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF647CDO	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR715EIP	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-2032'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/55290/'], '@type': ['Target', 'Item'], 'name': 'BRF2-human', 'label': 'BRF2', '@id': '/targets/BRF2-human/', 'title': 'BRF2 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '97d9c2b4-63e7-4c76-bbec-a0249004e73b', 'status': 'released'}				BRF2-human	DNA				formaldehyde		2022-10-03	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF828KFL/, /files/ENCFF772ZPS/, /files/ENCFF356LFX/, /files/ENCFF499XWR/	203594	ENCODE Processing Pipeline	44c8d3a313e4f7d23c262ba95977fb23		https://www.encodeproject.org/files/ENCFF647CDO/@@download/ENCFF647CDO.bed.gz				released	s3://encode-public/2022/09/28/172bec9b-c8b9-42f6-9205-c5d296f997b0/ENCFF647CDO.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/09/28/172bec9b-c8b9-42f6-9205-c5d296f997b0/ENCFF647CDO.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.1 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents		
ENCFF437XMN	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR095JQV	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-665'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/284323/'], '@type': ['Target', 'Item'], 'name': 'ZNF780A-human', 'label': 'ZNF780A', '@id': '/targets/ZNF780A-human/', 'title': 'ZNF780A (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'aa0cf6dd-515d-4b0e-a628-51ede8eb8025', 'status': 'released'}				ZNF780A-human	DNA				formaldehyde		2022-08-31	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF173SGK/, /files/ENCFF739OZT/, /files/ENCFF844XVU/	132656	ENCODE Processing Pipeline	d73eeac8e31d25434d8498df6840b5c1		https://www.encodeproject.org/files/ENCFF437XMN/@@download/ENCFF437XMN.bed.gz				released	s3://encode-public/2022/08/27/6839d7c9-a2dc-453f-b5f6-1a285ca5b2aa/ENCFF437XMN.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/08/27/6839d7c9-a2dc-453f-b5f6-1a285ca5b2aa/ENCFF437XMN.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents, moderate library complexity		
ENCFF704BPD	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR469FBY	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['FactorBook:HNF4A'], 'aliases': ['michael-snyder:TS-120'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/3172/'], '@type': ['Target', 'Item'], 'label': 'HNF4A', 'title': 'HNF4A (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '28fb6da7-d02e-40e3-8a23-e330cbe00f21', 'schema_version': '14', 'name': 'HNF4A-human', '@id': '/targets/HNF4A-human/', 'status': 'released'}				HNF4A-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF166OFT/, /files/ENCFF628YQV/, /files/ENCFF356LFX/, /files/ENCFF657NDS/	879787	ENCODE Processing Pipeline	26488baeb48bd11bca3fccf985e99b50		https://www.encodeproject.org/files/ENCFF704BPD/@@download/ENCFF704BPD.bed.gz				released	s3://encode-public/2020/07/06/8c6475d4-c560-4cf0-8aa3-8a87ba3d4d87/ENCFF704BPD.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/06/8c6475d4-c560-4cf0-8aa3-8a87ba3d4d87/ENCFF704BPD.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF618NTX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR701WPG	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/168850/'], '@type': ['Target', 'Item'], 'name': 'ZNF800-human', 'label': 'ZNF800', '@id': '/targets/ZNF800-human/', 'title': 'ZNF800 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '767aef11-bd84-44f5-98d5-7cec182bafce', 'status': 'released'}				ZNF800-human	DNA				formaldehyde		2020-07-08	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF912LDM/, /files/ENCFF633REY/, /files/ENCFF657NDS/	368966	ENCODE Processing Pipeline	1f93015af66c8e7275e818e958374aee		https://www.encodeproject.org/files/ENCFF618NTX/@@download/ENCFF618NTX.bed.gz				released	s3://encode-public/2020/07/05/0b79a74d-79a8-4881-9820-b000c7dc8c1d/ENCFF618NTX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/07/05/0b79a74d-79a8-4881-9820-b000c7dc8c1d/ENCFF618NTX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.4.0 GRCh38	released	missing genetic modification reagents		
ENCFF445CZX	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR163PYB	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['UniProtKB:Q9NX63'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/54927/'], '@type': ['Target', 'Item'], 'label': 'CHCHD3', 'title': 'CHCHD3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '1cf1adb8-7375-484a-a883-4362ed23a40f', 'schema_version': '14', 'name': 'CHCHD3-human', '@id': '/targets/CHCHD3-human/', 'status': 'released'}				CHCHD3-human	DNA				formaldehyde		2022-08-15	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF084IFU/, /files/ENCFF179MWW/, /files/ENCFF157XJU/, /files/ENCFF356LFX/	137077	ENCODE Processing Pipeline	4a66cc6362f894f90b55dc1ee6207f2f		https://www.encodeproject.org/files/ENCFF445CZX/@@download/ENCFF445CZX.bed.gz				released	s3://encode-public/2022/07/23/282207f4-152c-4f92-af5f-e597c9348e62/ENCFF445CZX.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/07/23/282207f4-152c-4f92-af5f-e597c9348e62/ENCFF445CZX.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents, moderate library complexity		
ENCFF417LFH	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR992KMO	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'dbxrefs': ['UniProtKB:Q7Z6M4'], 'aliases': [], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/130916/'], '@type': ['Target', 'Item'], 'label': 'MTERF4', 'title': 'MTERF4 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': '106c09da-a20b-4555-9040-ebcb61cac8ed', 'schema_version': '14', 'name': 'MTERF4-human', '@id': '/targets/MTERF4-human/', 'status': 'released'}				MTERF4-human	DNA				formaldehyde		2023-01-10	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF714NDO/, /files/ENCFF356LFX/, /files/ENCFF954YHR/, /files/ENCFF136DUI/	266399	ENCODE Processing Pipeline	741a39407945ccbedc67f298eeb6b1dc		https://www.encodeproject.org/files/ENCFF417LFH/@@download/ENCFF417LFH.bed.gz				released	s3://encode-public/2022/07/23/ce87f81f-5e4b-4974-8dac-33a5d0bc1fd1/ENCFF417LFH.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2022/07/23/ce87f81f-5e4b-4974-8dac-33a5d0bc1fd1/ENCFF417LFH.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.8.0 GRCh38	released	mild to moderate bottlenecking, missing genetic modification reagents		
ENCFF902EKZ	bed narrowPeak	bed	narrowPeak	IDR thresholded peaks	GRCh38	ENCSR911MML	TF ChIP-seq	/human-donors/ENCDO000AAC/	EFO:0001187	HepG2	cell line	Homo sapiens				CRISPR	insertion	{'schema_version': '14', 'aliases': ['michael-snyder:TS-1671'], 'organism': {'schema_version': '6', '@type': ['Organism', 'Item'], 'name': 'human', 'taxon_id': '9606', 'scientific_name': 'Homo sapiens', '@id': '/organisms/human/', 'uuid': '7745b647-ff15-4ff3-9ced-b897d4e2983c', 'status': 'released'}, 'genes': ['/genes/6929/'], '@type': ['Target', 'Item'], 'name': 'TCF3-human', 'label': 'TCF3', '@id': '/targets/TCF3-human/', 'title': 'TCF3 (Homo sapiens)', 'investigated_as': ['transcription factor'], 'uuid': 'e623aa7b-d26c-4226-94ba-8a3cf3108024', 'status': 'released'}				TCF3-human	DNA				formaldehyde		2020-06-30	ENCODE		sonication (generic)		1, 2	1_1, 2_1							/files/ENCFF356LFX/, /files/ENCFF545OLF/, /files/ENCFF428TCM/, /files/ENCFF317MJT/	100494	ENCODE Processing Pipeline	285ae27724842bdb3bc64647cbaa0acf		https://www.encodeproject.org/files/ENCFF902EKZ/@@download/ENCFF902EKZ.bed.gz				released	s3://encode-public/2020/06/26/4fe33b44-bb9c-42d7-8593-9e518a0b8982/ENCFF902EKZ.bed.gz	https://datasetencode.blob.core.windows.net/dataset/2020/06/26/4fe33b44-bb9c-42d7-8593-9e518a0b8982/ENCFF902EKZ.bed.gz?sv=2019-10-10&si=prod&sr=c&sig=9qSQZo4ggrCNpybBExU8SypuUZV33igI11xw0P7rB3c%3D	ENCODE4 v1.5.0 GRCh38	released	missing genetic modification reagents, borderline replicate concordance		
